Date,Max temp C,Min temp C,Rain chance %
2026-07-12,29.8,16.5,0
2026-07-13,27.8,14.5,0
2026-07-14,30.9,15.9,6
2026-07-15,30.0,16.6,22
2026-07-16,28.7,15.9,37
2026-07-17,28.4,15.3,33
2026-07-18,25.7,13.9,18
